timestamp,strategy,reward,penalties,total_reward
2024-12-15 03:42:33,RateLimiting,0.9999999999999235,0.015277436394635378,0.9847225636052882
2024-12-15 03:42:43,RateLimiting,0.4999999999993571,0.015348390853932975,0.48465160914542416
2024-12-15 03:42:53,RateLimiting,0.4999999999997689,2.1153121538792083,-1.6153121538794395
2024-12-15 03:43:05,TrafficShaping,0.49999999999999956,3.3234418478627505,-2.823441847862751
2024-12-15 03:43:15,RateLimiting,0.49999999999996203,5.463505057787342,-4.96350505778738
2024-12-15 03:43:26,TrafficShaping,0.49999999983861004,7.327052573931445,-6.827052574092835
2024-12-15 03:43:40,IPBlocking,0.4999999999998106,8.903537063527182,-8.403537063527372
2024-12-15 03:43:51,DynamicBandwidth,0.49999999948704316,10.82716706109508,-10.327167061608039
2024-12-15 03:44:01,RateLimiting,0.4999999997823102,13.965664451794947,-13.465664452012636
2024-12-15 03:44:15,IPBlocking,0.4999999999973707,15.553603882542202,-15.05360388254483
2024-12-15 03:44:26,DynamicBandwidth,0.49999999997903527,16.524591722724622,-16.024591722745587
2024-12-15 03:44:36,RateLimiting,0.49999999499492676,21.167452173239095,-20.667452178244165
2024-12-15 03:44:50,IPBlocking,0.4999999999903533,23.103645340583036,-22.603645340592678
2024-12-15 03:45:01,TrafficShaping,0.49999999993106814,25.22465241644266,-24.72465241651159
2024-12-15 03:45:12,DynamicBandwidth,0.49999999674166934,26.377391323603444,-25.87739132686177
2024-12-15 03:45:22,RateLimiting,0.4999999941445195,30.617475369024813,-30.117475374880296
2024-12-15 03:45:36,IPBlocking,0.4999999999925786,32.35363644952369,-31.85363644953111
2024-12-15 03:45:47,DynamicBandwidth,0.4999999995245454,34.47572719920225,-33.975727199677706
